,Natural Language Query,Generated SQL Query,Result
10,What is the id of the trip that has the shortest duration?,SELECT MIN(duration) AS shortest_duration FROM trip;," shortest_duration
                61"
11,What is the id of the shortest trip?,"SELECT MIN(duration), id
FROM trip
GROUP BY id
ORDER BY duration ASC
LIMIT 1;"," MIN(duration)     id
            61 906210"
12,What is the total and maximum duration of trips with bike id 636?,"SELECT SUM(duration) AS total_duration, MAX(duration) AS max_duration
FROM trip
WHERE bike_id = 636;"," total_duration  max_duration
          21897          1299"
13,What is the total and maximum duration for all trips with the bike id 636?,"SELECT SUM(duration) AS total_duration, MAX(duration) AS max_duration
FROM trip
WHERE bike_id = 636;"," total_duration  max_duration
          21897          1299"
14,"For each zip code, return the average mean temperature of August there.","SELECT zip_code, AVG(mean_temperature_f) 
FROM weather 
WHERE date LIKE '____-08-__' 
GROUP BY zip_code;","Empty DataFrame
Columns: [zip_code, AVG(mean_temperature_f)]
Index: []"
15,"For each zip code, what is the average mean temperature for all dates that start with '8'?","SELECT zip_code, AVG(mean_temperature_f) 
FROM weather 
WHERE date LIKE '8%' 
GROUP BY zip_code;"," zip_code  AVG(mean_temperature_f)
    94041                69.923077
    94063                69.153846
    94107                67.892308
    94301                69.030769
    95113                70.738462"
16,"From the trip record, find the number of unique bikes.",SELECT DISTINCT bike_id FROM trip;," bike_id
     454
     574
     636
     187
     363
      16
      67
     427
     603
     503
     351
     507
     415
      29
     110
     343
     374
     520
     531
     521
     512
     275
     137
     451
     259
     537
     563
     425
     266
     538
     285
     434
     360
     528
     193
     535
     593
     448
     416
     687
     552
     449
      90
     522
     370
      94
     386
     260
     418
     359
     405
     598
     327
     233
      57
     672
     441
     408
     111
     625
     628
     392
     361
     473
     279
     282
     575
     590
     278
     422
      20
     546
     315
     470
     289
     659
     292
     602
     581
     573
     437
     417
     578
     105
     299
     309
     494
     388
     572
     555
     191
     231
     384
     312
     268
     492
      64
     212
     623
     600
      33
      56
     436
      65
     455
     478
     562
     362
     617
     143
     372
     651
     696
     400
     514
     355
     331
     426
     243
     375
     373
     504
     509
     109
     479
     429
     541
     300
     586
     395
     569
     423
     450
     420
     500
     463
     443
     274
     502
     301
     505
     547
     431
     532
     214
     293
     329
      86
     589
     353
     585
     136
     366
     335
     401
     379
     336
     468
     131
     410
     592
     403
      55
     635
      69
     557
     518
      28
     117
     428
      32
     620
     576
     878
      96
     591
     419
     203
     621
     488
     654
     364
     677
     340
     511
     206
     597
     526
     560
     606
     643
     629
     630
     270
     354
     407
     314
     579
     391
     517
      48
     498
     287
     583
     290
     584
     624
     652
     619
     134
     356
     501
     469
     462
     194
     613
     158
     238
     248
     358
     348
     508
     267
     325
     383
     608
     317
     540
     338
     286
     554
     382
     491
      66
     245
     371
     404
     252
     385
      88
     475
     587
     568
     692
     190
     648
     631
     253
     638
     525
     544
     389
     632
     510
     519
     611
      77
     489
     322
     497
     530
     283
      75
     347
     306
     582
     483
     376
     219
     205
     485
     311
     567
     445
     308
     533
     123
     676
     118
     683
     326
     459
     570
     716
     558
      12
      27
     342
     250
      82
     622
     284
     461
     197
     288
     604
     516
     482
      46
     296
     548
     607
      98
     409
     394
     350
     402
     412
     380
     534
     712
     542
     495
     453
     334
     496
      14
      78
      38
     649
     147
     141
     139
     432
     609
     255
     387
     421
      41
     707
     235
     218
     332
      71
     618
     167
      84
     328
     221
     684
     230
      37
      80
     465
     472
     189
      30
     688
     693
     487
     706
     179
      31
     689
     186
     658
     614
     318
     549
     127
     269
     634
      35
     122
     484
     291
     471
     493
     877
     647
     378
     650
     277
     444
     456
     320
     442
     313
     377
     310
     393
     390
      95
     663
     209
     271
     163
     251
     556
     705
     599
     715
     120
     673
     239
     182
     411
     566
     527
      61
     397
     661
     129
     506
     686
     681
     399
     477
     357
     709
     458
      40
     140
     160
     413
      51
     240
     513
     690
     553
      92
     257
     457
     144
     128
     675
     646
      13
     216
     188
     126
      50
     524
     447
     263
      72
     656
     104
     142
      22
     561
     529
     655
     691
     679
     694
     702
     406
     440
     700
     446
     304
     352
      10
     258
     262
     699
     208
      63
     213
     264
     159
      18
     669
     671
     594
     439
     228
     175
     200
     192
     321
     577
     155
      21
     639
     148
     601
     704
     295
      93
     678
     708
     157
     701
     294
     102
     232
     249
     714
     150
     107
     641
     152
     236
     164
     368
     680
     685
     480
     168
     344
     162
     698
     559
     165
     149
     261
     564
     119
     103
     181
     176
     668
     211
     138
      43
      83
     145
      68
      25
      74
     196
     215
     666
     713
     670
     178
     156
     660"
17,How many different bike ids are there?,SELECT COUNT(DISTINCT bike_id) FROM trip;," COUNT(DISTINCT bike_id)
                     530"
18,What is the number of distinct cities the stations are located at?,SELECT COUNT(DISTINCT city) FROM station;," COUNT(DISTINCT city)
                    5"
19,How many different cities have these stations?,SELECT DISTINCT city FROM station;,"         city
     San Jose
 Redwood City
Mountain View
    Palo Alto
San Francisco"
20,How many stations does Mountain View city has?,SELECT COUNT(id) FROM station WHERE city = 'Mountain View';," COUNT(id)
         7"
21,How many stations are in Mountain View?,SELECT COUNT(id) FROM station WHERE city = 'Mountain View';," COUNT(id)
         7"
22,Return the unique name for stations that have ever had 7 bikes available.,"SELECT DISTINCT station.name 
FROM station 
JOIN status 
ON station.id = status.station_id 
WHERE status.bikes_available = 7;","                                         name
                       Santa Clara at Almaden
                          San Salvador at 1st
                                St James Park
                     Arena Green / SAP Center
              California Ave Caltrain Station
                           Powell Street BART
                              Clay at Battery
                             Davis at Jackson
                        Washington at Kearney
                              Post at Kearney
         Harry Bridges Plaza (Ferry Building)
                        Embarcadero at Bryant
Temporary Transbay Terminal (Howard at Beale)
                      San Francisco City Hall
                       Embarcadero at Sansome
                              2nd at Townsend
                            2nd at South Park
                            Steuart at Market"
23,What are the different names for each station that has ever had 7 bikes available?,"SELECT DISTINCT station.name 
FROM station 
JOIN status 
ON station.id = status.station_id 
WHERE status.bikes_available = 7;","                                         name
                       Santa Clara at Almaden
                          San Salvador at 1st
                                St James Park
                     Arena Green / SAP Center
              California Ave Caltrain Station
                           Powell Street BART
                              Clay at Battery
                             Davis at Jackson
                        Washington at Kearney
                              Post at Kearney
         Harry Bridges Plaza (Ferry Building)
                        Embarcadero at Bryant
Temporary Transbay Terminal (Howard at Beale)
                      San Francisco City Hall
                       Embarcadero at Sansome
                              2nd at Townsend
                            2nd at South Park
                            Steuart at Market"
24,Which start station had the most trips starting from August? Give me the name and id of the station.,"SELECT start_station_id, start_station_name
FROM trip
WHERE start_date >= '2021-08-01'
GROUP BY start_station_id, start_station_name
ORDER BY COUNT(*) DESC
LIMIT 1;"," start_station_id                      start_station_name
               69 San Francisco Caltrain 2 (330 Townsend)"
25,What are the start station's name and id for the one that had the most start trips in August?,"SELECT start_station_name, start_station_id
FROM trip
WHERE start_date BETWEEN '2022-08-01' AND '2022-08-31'
GROUP BY start_station_name, start_station_id
ORDER BY COUNT(*) DESC
LIMIT 1;","Empty DataFrame
Columns: [start_station_name, start_station_id]
Index: []"
26,Which bike traveled the most often in zip code 94002?,"SELECT bike_id
FROM trip
WHERE zip_code = 94002
GROUP BY bike_id
ORDER BY COUNT(*) DESC
LIMIT 1;"," bike_id
     679"
27,What is the id of the bike that traveled the most in 94002?,"SELECT bike_id
FROM trip
WHERE start_station_id IN (SELECT id FROM station WHERE city = '94002')
GROUP BY bike_id
ORDER BY SUM(duration) DESC
LIMIT 1;","Empty DataFrame
Columns: [bike_id]
Index: []"
28,How many days had both mean humidity above 50 and mean visibility above 8?,"SELECT COUNT(date) 
FROM weather 
WHERE mean_humidity > 50 AND mean_visibility_miles > 8;"," COUNT(date)
        3013"
29,What is the number of days that had an average humity above 50 and an average visibility above 8?,"SELECT COUNT(date) 
FROM weather 
WHERE mean_humidity > 50 AND mean_visibility_miles > 8;"," COUNT(date)
        3013"
30,"What is the latitude, longitude, city of the station from which the shortest trip started?","SELECT station.lat, station.long, station.city
FROM station
JOIN trip ON station.id = trip.start_station_id
ORDER BY trip.duration ASC
LIMIT 1;","      lat       long          city
37.776617 -122.39526 San Francisco"
31,"What is the latitude, longitude, and city of the station from which the trip with smallest duration started?","SELECT station.lat, station.long, station.city
FROM station
JOIN trip ON station.id = trip.start_station_id
ORDER BY trip.duration ASC
LIMIT 1;","      lat       long          city
37.776617 -122.39526 San Francisco"
32,What are the ids of stations that are located in San Francisco and have average bike availability above 10.,"SELECT station.id
FROM station
JOIN status ON station.id = status.station_id
WHERE station.city = 'San Francisco'
GROUP BY station.id
HAVING AVG(status.bikes_available) > 10;"," id
 45
 48
 51
 56
 57
 62
 64
 65
 68
 71
 72
 73
 75
 77"
33,What are the ids of the stations in San Francisco that normally have more than 10 bikes available?,"SELECT station_id 
FROM status 
WHERE station_id IN (SELECT id FROM station WHERE city = 'San Francisco') 
GROUP BY station_id 
HAVING AVG(bikes_available) > 10;"," station_id
         45
         48
         51
         56
         57
         62
         64
         65
         68
         71
         72
         73
         75
         77"
34,What are the names and ids of stations that had more than 14 bikes available on average or were installed in December?,"SELECT station.name, station.id
FROM station
LEFT JOIN status ON station.id = status.station_id
WHERE (SELECT AVG(status.bikes_available) FROM status WHERE status.station_id = station.id) > 14
OR strftime('%m', station.installation_date) = '12'","                             name  id
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
Civic Center BART (7th at Market)  72
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77
                Market at Sansome  77"
