,Natural Language Query,Generated SQL Query,Result
900718        12/31/2013
900719         8/22/2013
900720         8/21/2013
900721         8/25/2013
900722         8/21/2013
900723         8/20/2013
900724         8/21/2013
900725         8/23/2013
900726         8/23/2013
900727         8/20/2013
900728         8/23/2013
900729         8/23/2013
900730         8/25/2013
900731         8/23/2013
900732         8/20/2013
900733         8/25/2013
900734         8/23/2013
900735         8/25/2013
900736         1/22/2014
900737         8/22/2013
900738         8/22/2013
900739         8/22/2013
900740         8/25/2013
900741         8/23/2013
900742         8/25/2013
900743         8/16/2013
900745         8/20/2013
900746         8/14/2013
900747         8/23/2013
900748         8/21/2013
900749         8/23/2013
900750         8/21/2013
900751          8/5/2013
900752         8/23/2013
900753         8/23/2013
900755         8/23/2013
900756         8/20/2013
900757         8/23/2013
900758         8/25/2013
900760         8/25/2013
900761         8/23/2013
900762         8/22/2013
900763         8/21/2013
900764         8/23/2013
900766          8/6/2013
900767         8/20/2013
900768         8/22/2013
900769         8/23/2013
900770         8/21/2013
900771         8/21/2013
900772         8/22/2013
900774         8/22/2013
900775         8/23/2013
900776         8/23/2013
900777         8/19/2013
900778         8/21/2013
900780         8/23/2013
900781         8/25/2013
900782         8/22/2013
900783         8/15/2013
900784         8/25/2013
900785         8/22/2013
900786         8/21/2013
900787         8/23/2013
900789         8/25/2013
900790         8/23/2013
900795         8/23/2013
900796         8/22/2013
900799         8/20/2013
900800         8/19/2013
900801         8/23/2013
900802         8/23/2013
900803         8/25/2013
900804         8/19/2013
900805         8/22/2013
900806         8/23/2013
900807         8/23/2013
900808         8/20/2013
900809          8/6/2013
900810         8/23/2013
900811         8/20/2013
900812         8/21/2013
900813         8/23/2013
900814         8/25/2013
900815         8/25/2013
900816         8/25/2013
900817         8/25/2013
900818         8/23/2013
900819         8/19/2013
900820         8/21/2013
900821          8/6/2013
900822         8/22/2013
900823         8/23/2013
900824         8/25/2013
900825         8/20/2013
900826         8/21/2013
900828         8/20/2013
900830         8/21/2013
900831         8/23/2013
900832         8/25/2013
900833         8/21/2013
900834         1/22/2014
900835         8/25/2013
900836         8/16/2013
900840          8/6/2013
900841         8/25/2013
900842         8/23/2013
900843          8/5/2013
900844         8/25/2013
900846         8/20/2013
900847         8/25/2013
900849         8/21/2013
900853         8/19/2013
900854         8/25/2013
900855         8/23/2013
900856         8/21/2013
900857         8/23/2013
900858         8/22/2013
900859         8/20/2013
900860         8/23/2013
900861         8/20/2013
900862         8/20/2013
900865         8/20/2013
900866         8/23/2013
900867         8/16/2013
900868         8/23/2013
900871         8/22/2013
900874         8/21/2013
900875         8/19/2013
900876         8/23/2013
900877         8/23/2013
900878         8/21/2013
900879         8/21/2013
900880        12/31/2013
900881         8/25/2013
900882         8/21/2013
900883         8/20/2013
900884          4/9/2014
900885          4/9/2014
900886         8/22/2013
900887         8/25/2013
900888         8/23/2013
900889         8/21/2013
900890        12/31/2013
900891        12/31/2013
900892         8/22/2013
900893         8/22/2013
900894         8/23/2013
900895         8/19/2013
900896         8/21/2013
900897          8/5/2013
900898         8/20/2013
900899         8/20/2013
900900          8/6/2013
900901         8/23/2013
900902         8/23/2013
900903         8/20/2013
900904         8/19/2013
900905         8/19/2013
900906         8/21/2013
900907         8/20/2013
900908         8/19/2013
900909         8/19/2013
900910         8/22/2013
900911         8/20/2013
900912         8/21/2013
900913         8/21/2013
900914         8/25/2013
900915         8/22/2013
900916         8/22/2013
900917         8/23/2013
900918         8/21/2013
900919          8/6/2013
900920         8/23/2013
900922         8/23/2013
900923         8/23/2013
900924         8/23/2013
900925         8/23/2013
900926         8/22/2013
900927         8/21/2013
900928         8/19/2013
900929         8/22/2013
900930         8/25/2013
900931         8/25/2013
900932         8/23/2013
900933         8/19/2013
900934         8/21/2013
900936         8/21/2013
900937         8/20/2013
900938         8/19/2013
900939         8/20/2013
900941         8/20/2013
900943         8/25/2013
900945         8/23/2013
900946         8/20/2013
900947         8/25/2013
900948         8/20/2013
900949         8/20/2013
900955         8/21/2013
900956         8/16/2013
900961         8/25/2013
900962         8/22/2013
900963         8/21/2013
900964         8/25/2013
900965         8/20/2013
900966         8/21/2013
900968         8/25/2013
900969         8/20/2013
900970         8/23/2013
900971         8/25/2013
900972         8/25/2013
900973         8/22/2013
900974         8/25/2013
900976         8/25/2013
900977         8/25/2013
900978         8/21/2013
900979         8/21/2013
900980         8/21/2013
900981         8/19/2013
900982         8/23/2013
900983         8/20/2013
900984         8/23/2013
900985         8/20/2013
900986         8/20/2013
900987         8/16/2013
900988          8/5/2013
900989         8/23/2013
900990          8/7/2013
900992         8/25/2013
900993         8/25/2013
900994         8/20/2013
900995         8/19/2013
900996         8/21/2013
900997         8/21/2013
900998         8/25/2013
900999         8/25/2013
901002         8/25/2013
901003         8/21/2013
901004         8/23/2013
901005         8/20/2013
901006         8/20/2013
901007         8/14/2013
901008         8/14/2013
901009         8/22/2013
901010         8/23/2013
901011         8/21/2013
901012         8/23/2013
901013         8/23/2013
901014         8/20/2013
901015         8/20/2013
901016         8/22/2013
901017         8/14/2013
901018         8/20/2013
901020         8/20/2013
901021         8/21/2013
901022         8/20/2013
901023         8/22/2013
901024         8/25/2013
901025         8/21/2013
901026         8/21/2013
901027         8/20/2013
901028         8/21/2013
901029         8/21/2013
901034         8/21/2013
901036         8/25/2013
901037         8/23/2013
901038         8/21/2013
901039         8/23/2013
901040         8/21/2013
901041         8/21/2013
901042         8/25/2013
901044         8/21/2013
901045         8/21/2013
901046         8/20/2013
901047         8/20/2013
901051         8/20/2013
901052         8/20/2013
901054         8/21/2013
901055         8/21/2013
901056         8/23/2013
901057         8/19/2013
901058         8/19/2013
901059         8/21/2013
901060         8/20/2013
901061         8/19/2013
901062         8/23/2013
901063         8/23/2013
901064         8/25/2013
901065         8/19/2013
901066         8/23/2013
901067         8/21/2013
901068         8/19/2013
901069         8/25/2013
901070         8/21/2013
901071         8/25/2013
901072         8/19/2013
901073         8/25/2013
901074         8/25/2013
901075         8/23/2013
901076         8/25/2013
901077         8/23/2013
901078         8/19/2013
901079         8/19/2013
901080          8/6/2013
901081         8/25/2013
901082         8/19/2013
901083         8/19/2013
901085         8/20/2013
901086         8/25/2013
901087         8/14/2013
901088         8/21/2013
901089         8/25/2013
901090         8/14/2013
901092         8/25/2013
901093         8/20/2013
901094         8/20/2013
901096         8/22/2013
901097         8/25/2013
901099         8/19/2013
901100         8/22/2013
901101         8/19/2013
901102         8/21/2013
901103         8/20/2013
901104         8/20/2013
901105         8/25/2013
901106         8/21/2013
901107         8/25/2013
901108         8/19/2013
901109         8/25/2013
901110         8/20/2013
901111         8/19/2013
901112         8/19/2013
901114         8/16/2013
901115          8/5/2013
901116          8/5/2013
901119         8/21/2013
901120         8/25/2013
901122         1/22/2014
901123         8/23/2013
901124         8/20/2013
901125         8/19/2013
901126         8/20/2013
901127         8/20/2013
901128         8/21/2013
901129         8/21/2013
901130         8/21/2013
901131         8/21/2013
901132         8/22/2013
901133         8/19/2013
901134         8/19/2013
901135         8/21/2013
901136         8/20/2013
901137         8/20/2013
901138         8/21/2013
901139         8/19/2013
901140         8/21/2013
901141         8/19/2013
901142         8/21/2013
901143         8/23/2013
901144         8/23/2013
901145          8/7/2013
901146         8/21/2013
901147         8/21/2013
901148         8/25/2013
901149         8/19/2013
901150         8/20/2013
901151         8/21/2013
901154         8/20/2013
901159         8/22/2013
901164         8/25/2013
901167         8/23/2013
901168         8/23/2013
901170         8/23/2013
901171         8/23/2013
901172         8/21/2013
901173         8/20/2013
901174         8/23/2013
901175         8/23/2013
901176         8/22/2013
901177         8/23/2013
901178         8/21/2013
901180         8/23/2013
901181         8/23/2013
901182         8/19/2013
901183         8/20/2013
901184         8/15/2013
901185         8/15/2013
901187         8/20/2013
901188         8/25/2013
901189         8/23/2013
901190         8/23/2013
901191         8/25/2013
901192         8/22/2013
901193         8/22/2013
901198         8/20/2013
901200         8/25/2013
901201         8/21/2013
901202         8/23/2013
901203         8/21/2013
901204         8/23/2013
901205         8/25/2013
901206         8/21/2013
901207         8/19/2013
901208         8/25/2013
901209         8/21/2013
901210         8/21/2013
901211         8/21/2013
901212         8/21/2013
901213         8/20/2013
901214         8/23/2013
901215         8/23/2013
901216         8/23/2013
901217         8/23/2013
901218         8/22/2013
901219         8/21/2013
901220         8/21/2013
901221         8/21/2013
901222         8/21/2013
901224         8/23/2013
901225         8/20/2013
901226         8/20/2013
901227         8/25/2013
901228         8/25/2013
901230         8/21/2013
901231         8/23/2013
901232         8/21/2013
901233         8/19/2013
901234         8/23/2013
901235         8/23/2013
901236         8/23/2013
901237         8/25/2013
901238         8/23/2013
901239         8/14/2013
901240         8/20/2013
901241         8/21/2013
901242         8/22/2013
901243         8/25/2013
901244         8/23/2013
901245         8/23/2013
901246         8/20/2013
901247         8/25/2013
901248         8/25/2013
901249         1/22/2014
901250         1/22/2014
901257         8/22/2013
901258         8/25/2013
901259         8/21/2013
901260         8/21/2013
901261         8/22/2013
901262         8/22/2013
901263         8/14/2013
901264         8/23/2013
901265         8/25/2013
901266         8/25/2013
901267         8/23/2013
901268         8/25/2013
901269         8/21/2013
901270         8/21/2013
901272         8/16/2013
901273         8/21/2013
901274         8/20/2013
901275         8/14/2013
901276         8/21/2013
901277         8/21/2013
901278         8/21/2013
901279         8/22/2013
901283         8/25/2013
901284         8/25/2013
901288         8/21/2013
901289         8/21/2013
901290         8/25/2013
901293         8/21/2013
901294         8/23/2013
901295         8/19/2013
901296         8/19/2013
901297         8/21/2013
901298         8/19/2013
901299         8/19/2013
901300         8/25/2013
901301         8/20/2013
901302          8/6/2013
901307         8/19/2013
901308         8/19/2013
901309         8/23/2013
901310         8/20/2013
901316         8/20/2013
901317         8/21/2013
901318         8/21/2013
901319         8/23/2013
901320         8/23/2013
901321         8/23/2013
901322         1/22/2014
901323         8/25/2013
901324         8/25/2013
901325         8/25/2013
901326         8/23/2013
901329         8/20/2013
901330         8/12/2013
901335         8/23/2013
901336         8/23/2013
901337          8/5/2013
901338         8/25/2013
901339         1/22/2014
901340         8/25/2013
901341         8/23/2013
901342         8/22/2013
901343         8/23/2013
901344         8/23/2013
901345         8/23/2013
901346         8/23/2013
901347          8/6/2013
901348         8/21/2013
901349         8/25/2013
901350         8/25/2013
901351         8/23/2013
901352         8/23/2013
901353         8/25/2013
901354         8/23/2013
901355         8/23/2013
901356         8/23/2013
901357         8/22/2013
901358         8/22/2013
901359         8/23/2013
901360         8/25/2013
901361         8/25/2013
901362         8/20/2013
901363         8/23/2013
901364          8/6/2013
901371         8/20/2013
901372         8/23/2013
901373         8/23/2013
901374          8/5/2013
901375         8/25/2013
901376         8/22/2013
901377         8/22/2013
901378         8/23/2013
901379         8/20/2013
901380         8/20/2013
901382         8/21/2013
901383         8/21/2013
901384         8/25/2013
901385         8/14/2013
901386         8/25/2013
901387         8/16/2013
901388         8/23/2013
901389         8/15/2013
901390         8/19/2013
901391         8/19/2013
901392         8/19/2013
901393         8/22/2013
901394         8/22/2013
901395         8/21/2013
901396         8/23/2013
901397         8/23/2013
901398         8/21/2013
901400         8/21/2013
901401         8/25/2013
901402         8/25/2013
901403         8/23/2013
901404         8/23/2013
901405         8/23/2013
901406          8/6/2013
901407         8/23/2013
901408         8/23/2013
901409         8/23/2013
901410         8/23/2013
901411         8/22/2013
901412         8/25/2013
901413         8/23/2013
901414         8/16/2013
901415         8/16/2013
901416         8/23/2013
901417         8/23/2013
901418         8/20/2013
901419         8/22/2013
901420         8/19/2013
901421          8/6/2013
901422         8/23/2013
901423         8/25/2013
901424         8/25/2013
901425         8/25/2013
901426         8/25/2013
901427         8/21/2013
901428         8/21/2013
901429         8/20/2013
901430         8/21/2013
901431         8/21/2013
901432         8/23/2013
901433         8/21/2013
901434         8/22/2013
901435         8/20/2013
901436         8/20/2013
901437         8/22/2013
901438         8/23/2013
901439         8/21/2013
901440         8/25/2013
901441         8/22/2013
901443         8/23/2013
901444         8/22/2013
901445         8/23/2013
901446         8/25/2013
901447         8/22/2013
901448         8/22/2013
901449         8/25/2013
901453         8/23/2013
901455         8/19/2013
901456         8/23/2013
901457         8/22/2013
901458         8/20/2013
901459         8/25/2013
901460         8/21/2013
901461         8/23/2013
901462         8/22/2013
901466         8/20/2013
901467         8/20/2013
901468         8/21/2013
901470         8/20/2013
901471         8/20/2013
901472         8/21/2013
901473         8/23/2013
901474         8/23/2013
901478         8/15/2013
901479         8/15/2013
901480         8/22/2013
901481         8/20/2013
901482         8/25/2013
901489         8/16/2013
901490         8/19/2013
901491         8/20/2013
901492         8/20/2013
901493         8/21/2013
901494         8/20/2013
901495         8/15/2013
901496         8/23/2013
901497         8/15/2013
901498         8/21/2013
901499          8/6/2013
901500          8/6/2013
901503         8/20/2013
901504         8/25/2013
901505         8/19/2013
901506         8/19/2013
901507         8/20/2013
901508         8/20/2013
901511         8/22/2013
901512         8/25/2013
901513         8/23/2013
901514         8/23/2013
901515         8/25/2013
901516         8/25/2013
901517         8/19/2013
901518         8/19/2013
901519         8/21/2013
901520         8/21/2013
901521         8/19/2013
901522         8/21/2013
901523         8/21/2013
901524         8/20/2013
901525         8/20/2013
901526         8/20/2013
901527         8/25/2013
901528         8/20/2013
901529         8/21/2013
901530         8/22/2013
901531         8/23/2013
901532         8/21/2013
901533         8/21/2013
901534         8/21/2013
901535         8/23/2013
901537         8/20/2013
901538         8/21/2013
901539         8/20/2013
901540         8/19/2013
901541         8/19/2013
901542         8/21/2013
901543         8/21/2013
901544         8/22/2013
901545          8/5/2013
901546         8/21/2013
901547         8/15/2013
901548         8/21/2013
901551         8/25/2013
901552         8/25/2013
901553         8/21/2013
901554         8/21/2013
901555         8/22/2013
901556         8/20/2013
901557         8/20/2013
901558         8/25/2013
901559         8/25/2013
901560         8/23/2013
901561         8/23/2013
901562         8/20/2013
901563         8/20/2013
901565         8/23/2013
901566         8/23/2013
901567         8/20/2013
901568         8/20/2013
901569         8/19/2013
901572         8/23/2013
901573         8/20/2013
901583         8/20/2013
901584         8/20/2013
901585         8/20/2013
901586         8/21/2013
901587         8/21/2013
901588        12/31/2013
901589        12/31/2013
901590         8/20/2013
901591         8/20/2013
901592         8/19/2013
901593          8/7/2013
901594         8/21/2013
901595         8/20/2013
901596         8/16/2013
901598         8/22/2013
901599         8/20/2013
901600         8/25/2013
901601         8/21/2013
901602         8/25/2013
901603         8/23/2013
901604         8/21/2013
901605         8/21/2013
901608         8/19/2013
901609         8/21/2013
901610         8/21/2013
901611         8/23/2013
901612         8/21/2013
901613         8/21/2013
901614         8/21/2013
901615         8/25/2013
901616         8/23/2013
901617         8/21/2013
901618         8/25/2013
901619         8/25/2013
901620         8/25/2013
901621         8/19/2013
901622         8/20/2013
901623         8/20/2013
901624         8/23/2013
901625         8/22/2013
901626          8/6/2013
901627         8/23/2013
901628         8/25/2013
901629         8/23/2013
901630         8/23/2013
901631          8/5/2013
901632         8/19/2013
901633         8/22/2013
901634         8/19/2013
901635         8/15/2013
901636         8/19/2013
901637         8/19/2013
901638          8/6/2013
901639          8/6/2013
901640          8/5/2013
901641         8/23/2013
901642         8/22/2013
901643         8/23/2013
901644         8/21/2013
901645         8/25/2013
901646         8/23/2013
901647         8/20/2013
901648         8/20/2013
901649         8/20/2013
901650         8/21/2013
901651         8/21/2013
901652         8/23/2013
901653         8/23/2013
901654         8/21/2013
901655         8/25/2013
901656         8/19/2013
901657         8/19/2013
901658         8/19/2013
901659         8/14/2013
901660         8/15/2013
901661         8/21/2013
901662         8/15/2013
901663         8/15/2013
901664         8/19/2013
901665         8/21/2013
901666         8/19/2013
901667         8/15/2013
901668         8/21/2013
901669         8/20/2013
901670         8/23/2013
901671          4/9/2014
901672         8/19/2013
901674         8/16/2013
901675         8/16/2013
901676         8/20/2013
901677         8/20/2013
901678         8/20/2013
901679         8/20/2013
901681         8/21/2013
901682         8/23/2013
901683         8/20/2013
901686         8/22/2013
901687         8/23/2013
901688         8/20/2013
901689         8/22/2013
901690         8/22/2013
901691         8/15/2013
901692         8/19/2013
901693         8/23/2013
901694         8/19/2013
901695        12/31/2013
901696        12/31/2013
901700         8/25/2013
901701         8/20/2013
901702         8/19/2013
901703         8/25/2013
901704         8/22/2013
901705         8/23/2013
901706         8/14/2013
901707         8/14/2013
901708         8/23/2013
901709         8/19/2013
901710         8/14/2013
901711         8/14/2013
901712         8/20/2013
901713         8/23/2013
901714         8/25/2013
901718         8/23/2013
901719         8/23/2013
901722         8/20/2013
901725         8/20/2013
901726         8/23/2013
901727         8/22/2013
901728         8/23/2013
901729         8/21/2013
901732         8/21/2013
901733         8/20/2013
901734         8/22/2013
901735         8/22/2013
901736         8/23/2013
901737         8/23/2013
901739         8/23/2013
901740         8/22/2013
901741         8/21/2013
901743         8/22/2013
901744         8/20/2013
901749         8/19/2013
901750         8/19/2013
901751         8/19/2013
901752         8/25/2013
901753         8/25/2013
901754         8/23/2013
901755          8/6/2013
901756         8/21/2013
901757         8/21/2013
901758         8/23/2013
901759         8/23/2013
901760         8/21/2013
901761         8/23/2013
901762          8/5/2013
901763         8/19/2013
901764         8/25/2013
901765         8/20/2013
901766         8/19/2013
901767         8/21/2013
901768        12/31/2013
901769         8/23/2013
901772         8/12/2013
901773         8/20/2013
901774         8/12/2013
901775          8/5/2013
901776         8/14/2013
901778         8/21/2013
901779         8/19/2013
901782         8/23/2013
901783         8/23/2013
901785         8/25/2013
901786         8/20/2013
901787         8/20/2013
901788          8/6/2013
901789         8/23/2013
901794         8/23/2013
901795         8/22/2013
901796         8/21/2013
901797         8/21/2013
901798         8/22/2013
901800          8/6/2013
901801        12/31/2013
901802         8/15/2013
901803         1/22/2014
901804         1/22/2014
901805         8/20/2013
901806         8/16/2013
901807         8/19/2013
901808         8/23/2013
901809         8/22/2013
901810         8/23/2013
901811         8/23/2013
901812         8/20/2013
901813         8/21/2013
901814         8/20/2013
901815         8/20/2013
901816         8/23/2013
901817         8/23/2013
901818         8/19/2013
901819         8/21/2013
901820         8/23/2013
901821         8/21/2013
901822         8/19/2013
901823         8/25/2013
901824         8/22/2013
901825         8/22/2013
901826         8/25/2013
901827         8/21/2013
901828         8/23/2013
901829         8/25/2013
901830         8/25/2013
901831         8/23/2013
901832         8/23/2013
901833         8/25/2013
901834         8/19/2013
901835         8/23/2013
901836         8/25/2013
901837         8/25/2013
901838         8/22/2013
901839         8/22/2013
901840         8/22/2013
901841         8/23/2013
901842         8/22/2013
901843         8/23/2013
901844         8/22/2013
901845         8/22/2013
901846          8/6/2013
901847          8/6/2013
901848         8/21/2013
901849         8/20/2013
901850         8/22/2013
901851         8/20/2013
901852          8/6/2013
901853         1/22/2014
901854         8/23/2013
901855         8/20/2013
901856         8/21/2013
901857         8/23/2013
901858          8/6/2013
901859         8/25/2013
901860         8/23/2013
901861         8/19/2013
901862         8/20/2013
901863         8/20/2013
901864         8/25/2013
901865         8/25/2013
901866         8/15/2013
901867         8/21/2013
901868         8/23/2013
901869         8/23/2013
901870         8/19/2013
901871         8/19/2013
901873          8/6/2013
901874         8/23/2013
901875         8/25/2013
901877         8/23/2013
901878         8/20/2013
901879         8/25/2013
901880         8/21/2013
901881         8/22/2013
901882         8/19/2013
901883         8/23/2013
901884         8/23/2013
901886         8/22/2013
901887         8/19/2013
901888         8/12/2013
901889        12/31/2013
901890         8/25/2013
901894         8/22/2013
901901         8/23/2013
901902         8/23/2013
901903         8/22/2013
901904         8/25/2013
901905         8/19/2013
901906         8/23/2013
901907         8/19/2013
901908         8/23/2013
901909         8/20/2013
901910         8/12/2013
901911         8/19/2013
901912         8/19/2013
901913         8/21/2013
901914         8/20/2013
901915         8/20/2013
901916         8/22/2013
901917         8/22/2013
901918         8/25/2013
901919         8/20/2013
901920         8/20/2013
901921         8/22/2013
901922         8/23/2013
901923         8/16/2013
901925         8/20/2013
901926         8/22/2013
901929          8/6/2013
901930         8/20/2013
901931         8/21/2013
901932         8/20/2013
901933         8/12/2013
901934         8/23/2013
901935         8/23/2013
901938         8/21/2013
901939         8/25/2013
901940         8/25/2013
901944          8/6/2013
901945          8/6/2013
901948         8/22/2013
901950         8/22/2013
901951         8/22/2013
901952         8/23/2013
901953         8/22/2013
901955         8/21/2013
901957          8/7/2013
901958          8/6/2013
901959         8/23/2013
901960         8/23/2013
901961         8/22/2013
901962         8/21/2013
901963         8/22/2013
901964         8/22/2013
901965         8/25/2013
901966         8/23/2013
901967         8/22/2013
901968         8/23/2013
901969          8/7/2013
901970         8/22/2013
901971         8/23/2013
901972         8/25/2013
901973         8/22/2013
901974         8/23/2013
901975         8/22/2013
901976         8/21/2013
901977         8/16/2013
901978         8/21/2013
901979         8/23/2013
901980         8/20/2013
901981         8/23/2013
901982         8/25/2013
901983         8/21/2013
901984         8/19/2013
901985         8/23/2013
901986         8/20/2013
901987         8/25/2013
901988         8/20/2013
901991         8/20/2013
901992         8/21/2013
901993         8/20/2013
901994         8/23/2013
901995         8/19/2013
901998         8/15/2013
901999         8/20/2013
902000         8/25/2013
902001         8/15/2013
902002         8/21/2013
902003         8/20/2013
902004         8/25/2013
902007         8/16/2013
902010         8/23/2013
902011         8/22/2013
902012         8/25/2013
902013         8/19/2013
902014         8/19/2013
902015         8/22/2013
902017         8/19/2013
902018         8/25/2013
902019         8/12/2013
902020         8/25/2013
902021         8/25/2013
902022         8/19/2013
902023         8/23/2013
902024         8/19/2013
902025        12/31/2013
902026         8/20/2013
902027         8/20/2013
902029         8/19/2013
902031         8/25/2013
902032         8/22/2013
902033         8/22/2013
902034         8/23/2013
902035         8/22/2013
902036         8/19/2013
902037         8/22/2013
902038         8/19/2013
902039         8/19/2013
902040         8/25/2013
902041         8/22/2013
902042         8/25/2013
902043         8/23/2013
902044         8/22/2013
902045         8/19/2013
902046         8/23/2013
902047          8/7/2013
902048         8/23/2013
902049         8/19/2013
902051         8/22/2013
902052         8/25/2013
902054         8/22/2013
902055         8/19/2013
902056         8/16/2013
902057         8/20/2013
902058         8/20/2013
902059         8/23/2013
902060         8/22/2013
902061         8/20/2013
902062         8/22/2013
902063         8/23/2013
902064         8/20/2013
902065         8/20/2013
902066         8/23/2013
902067         8/23/2013
902068         8/21/2013
902069         8/25/2013
902070         8/22/2013
902071         8/22/2013
902072         8/23/2013
902073         8/25/2013
902074         8/19/2013
902075         1/22/2014
902076         8/25/2013
902077         8/23/2013
902078         8/20/2013
902079         8/25/2013
902080         8/25/2013
902081         8/22/2013
902082         8/23/2013
902083         8/23/2013
902084         8/19/2013
902085         8/23/2013
902086         8/19/2013
902087         8/12/2013
902089         8/20/2013
902091         8/20/2013
902092         8/21/2013
902093         8/21/2013
902094        12/31/2013
902098         8/15/2013
902100         8/22/2013
902101         8/25/2013
902103         8/22/2013
902104         8/22/2013
902105         8/22/2013
902106         8/22/2013
902107          8/6/2013
902108         8/22/2013
902109         8/22/2013
902110         8/22/2013
902111         8/14/2013
902112         8/23/2013
902113         8/21/2013
902114         8/22/2013
902115         8/22/2013
902117         8/20/2013
902118         8/23/2013
902119         8/25/2013
902121         8/22/2013
902122         8/19/2013
902123         8/22/2013
902124         1/22/2014
902125         8/22/2013
902126         8/23/2013
902127         8/20/2013
902128         8/25/2013
902129         8/20/2013
902130         8/23/2013
902132         8/25/2013
902133         8/25/2013
902134         8/22/2013
902135         8/20/2013
902136         1/22/2014
902137         8/22/2013
902138         8/20/2013
902139         8/20/2013
902140         8/20/2013
902141         8/25/2013
902142         8/23/2013
902143         8/25/2013
902145         8/20/2013
902146         8/25/2013
902147         8/19/2013
902148         8/22/2013
902149         8/23/2013
902150         8/22/2013
902151         8/20/2013
902157         8/21/2013
902158         8/19/2013
902159         8/25/2013
902160         8/23/2013
902164         8/22/2013
902165         8/25/2013
902166         8/19/2013
902167         8/22/2013
902168         8/22/2013
902169         8/15/2013
902170         8/25/2013
902172         8/20/2013
902173         8/22/2013
902174         8/23/2013
902175         8/22/2013
902177         8/25/2013
902178         8/23/2013
902179         8/22/2013
902180         8/23/2013
