Country,Year,Employment by industry: Agriculture (%) Male and Female
Ukraine,2010.0,16.3
United Arab Emirates,2015.0,2.4
United Kingdom,2010.0,1.2
United Kingdom,2015.0,1.1
United Rep. of Tanzania,2010.0,70.3
United Rep. of Tanzania,2015.0,67.5
United States of America,2015.0,1.8
Uruguay,2015.0,8.8
Uzbekistan,2015.0,26.9
Venezuela (Boliv. Rep. of),2010.0,8.5
Viet Nam,2010.0,48.7
Yemen,2010.0,24.1
Zambia,2010.0,66.1
Zambia,2015.0,60.5
