Country,Year,Total fertility rate (children per women)
Indonesia,2015.0,2.3
Ireland,2010.0,2.1
Ireland,2015.0,1.9
Israel,2010.0,3.0
Israel,2015.0,3.2
Italy,2010.0,1.5
Italy,2015.0,1.3
Jamaica,2010.0,1.7
Jamaica,2015.0,1.6
Japan,2015.0,1.4
Kazakhstan,2010.0,2.6
Kazakhstan,2015.0,2.7
Kenya,2015.0,3.8
Kyrgyzstan,2010.0,3.1
Kyrgyzstan,2015.0,3.2
Latvia,2010.0,1.4
Latvia,2015.0,1.7
Lebanon,2010.0,2.1
Lithuania,2010.0,1.5
Lithuania,2015.0,1.7
Luxembourg,2010.0,1.6
Luxembourg,2015.0,1.5
Madagascar,2015.0,4.2
Malawi,2010.0,5.3
Malaysia,2010.0,2.1
Malaysia,2015.0,2.0
Maldives,2010.0,2.3
Maldives,2015.0,2.0
Malta,2010.0,1.4
Malta,2015.0,1.4
Mauritius,2010.0,1.6
Mauritius,2015.0,1.4
Mexico,2010.0,2.3
Mexico,2015.0,2.1
Mongolia,2010.0,2.5
Mongolia,2015.0,3.0
Morocco,2015.0,2.5
Mozambique,2010.0,5.6
Namibia,2010.0,3.6
Nepal,2010.0,2.5
Nepal,2015.0,2.3
Netherlands (Kingdom of the),2010.0,1.8
Netherlands (Kingdom of the),2015.0,1.7
New Zealand,2010.0,2.2
New Zealand,2015.0,2.0
Nicaragua,2010.0,2.6
Nicaragua,2015.0,2.5
Norway,2010.0,1.9
Norway,2015.0,1.7
Oman,2015.0,3.0
Pakistan,2010.0,4.3
Pakistan,2015.0,3.9
Panama,2015.0,2.6
Paraguay,2010.0,2.7
Paraguay,2015.0,2.6
Peru,2010.0,2.6
Peru,2015.0,2.3
Philippines,2015.0,3.0
Poland,2010.0,1.4
Poland,2015.0,1.3
Portugal,2010.0,1.4
Portugal,2015.0,1.3
Qatar,2010.0,2.1
Qatar,2015.0,1.9
Republic of Korea,2010.0,1.2
Republic of Korea,2015.0,1.2
Republic of Moldova,2010.0,1.7
Republic of Moldova,2015.0,1.9
Romania,2010.0,1.6
Romania,2015.0,1.6
Russian Federation,2015.0,1.8
Rwanda,2010.0,4.5
Rwanda,2015.0,4.1
Saint Lucia,2010.0,1.5
Saint Lucia,2015.0,1.5
Saint Vincent & Grenadines,2010.0,2.1
San Marino,2010.0,1.5
Sao Tome and Principe,2010.0,4.7
Saudi Arabia,2015.0,2.6
Senegal,2010.0,5.1
Senegal,2015.0,4.8
Serbia,2010.0,1.4
Serbia,2015.0,1.5
Sierra Leone,2015.0,4.5
Singapore,2010.0,1.2
Singapore,2015.0,1.2
Slovakia,2010.0,1.4
Slovakia,2015.0,1.4
Slovenia,2010.0,1.6
Slovenia,2015.0,1.6
South Africa,2010.0,2.4
South Africa,2015.0,2.4
Spain,2010.0,1.4
Spain,2015.0,1.3
Sri Lanka,2010.0,2.2
Sri Lanka,2015.0,2.1
Suriname,2015.0,2.5
Sweden,2010.0,2.0
Sweden,2015.0,1.8
Switzerland,2010.0,1.5
Switzerland,2015.0,1.5
Tajikistan,2010.0,3.5
Thailand,2010.0,1.6
Thailand,2015.0,1.5
Timor-Leste,2010.0,4.8
Timor-Leste,2015.0,3.9
Tunisia,2010.0,2.1
Türkiye,2010.0,2.1
Türkiye,2015.0,2.2
Uganda,2010.0,6.1
Uganda,2015.0,5.3
Ukraine,2010.0,1.4
United Arab Emirates,2015.0,1.5
United Kingdom,2010.0,1.9
United Kingdom,2015.0,1.8
United Rep. of Tanzania,2010.0,5.3
United Rep. of Tanzania,2015.0,5.1
United States of America,2015.0,1.8
Uruguay,2015.0,2.0
Uzbekistan,2015.0,2.5
Venezuela (Boliv. Rep. of),2010.0,2.5
Viet Nam,2010.0,1.9
Yemen,2010.0,4.9
Zambia,2010.0,5.4
Zambia,2015.0,4.8
