shot_id,video_id,video_name,description,start,finish
"shot_video12_89_103","video12","Historical Love Stories","Shot from 89s to 103s of Historical Love Stories",89000,103000
"shot_video13_0_203","video13","Crime Solvers: Unsolved Mysteries","Shot from 0s to 203s of Crime Solvers: Unsolved Mysteries",0,203000
"shot_video13_220_415","video13","Crime Solvers: Unsolved Mysteries","Shot from 220s to 415s of Crime Solvers: Unsolved Mysteries",220000,415000
"shot_video14_9_309","video14","Architectural Wonders","Shot from 9s to 309s of Architectural Wonders",9000,309000
"shot_video14_315_475","video14","Architectural Wonders","Shot from 315s to 475s of Architectural Wonders",315000,475000
"shot_video15_17_25","video15","A Journey Through Japan","Shot from 17s to 25s of A Journey Through Japan",17000,25000
"shot_video15_42_55","video15","A Journey Through Japan","Shot from 42s to 55s of A Journey Through Japan",42000,55000
"shot_video15_72_105","video15","A Journey Through Japan","Shot from 72s to 105s of A Journey Through Japan",72000,105000
"shot_video16_0_97","video16","Laugh Out Loud Comedy Show","Shot from 0s to 97s of Laugh Out Loud Comedy Show",0,97000
"shot_video16_115_385","video16","Laugh Out Loud Comedy Show","Shot from 115s to 385s of Laugh Out Loud Comedy Show",115000,385000
"shot_video16_402_408","video16","Laugh Out Loud Comedy Show","Shot from 402s to 408s of Laugh Out Loud Comedy Show",402000,408000
"shot_video17_17_327","video17","Survival in the Wild","Shot from 17s to 327s of Survival in the Wild",17000,327000
"shot_video17_343_351","video17","Survival in the Wild","Shot from 343s to 351s of Survival in the Wild",343000,351000
"shot_video17_367_370","video17","Survival in the Wild","Shot from 367s to 370s of Survival in the Wild",367000,370000
"shot_video17_371_400","video17","Survival in the Wild","Shot from 371s to 400s of Survival in the Wild",371000,400000
"shot_video18_14_300","video18","Epic Fantasy Adventures","Shot from 14s to 300s of Epic Fantasy Adventures",14000,300000
"shot_video18_310_520","video18","Epic Fantasy Adventures","Shot from 310s to 520s of Epic Fantasy Adventures",310000,520000
"shot_video19_2_170","video19","Innovation and Technology Today","Shot from 2s to 170s of Innovation and Technology Today",2000,170000
"shot_video19_170_241","video19","Innovation and Technology Today","Shot from 170s to 241s of Innovation and Technology Today",170000,241000
"shot_video19_258_370","video19","Innovation and Technology Today","Shot from 258s to 370s of Innovation and Technology Today",258000,370000
"shot_video19_389_425","video19","Innovation and Technology Today","Shot from 389s to 425s of Innovation and Technology Today",389000,425000
"shot_video20_18_77","video20","Mysteries of Ancient Egypt","Shot from 18s to 77s of Mysteries of Ancient Egypt",18000,77000
"shot_video21_5_221","video21","Inside the Human Mind","Shot from 5s to 221s of Inside the Human Mind",5000,221000
"shot_video22_5_32","video22","Beautiful World Music","Shot from 5s to 32s of Beautiful World Music",5000,32000
"shot_video22_37_114","video22","Beautiful World Music","Shot from 37s to 114s of Beautiful World Music",37000,114000
"shot_video22_116_166","video22","Beautiful World Music","Shot from 116s to 166s of Beautiful World Music",116000,166000
"shot_video22_168_181","video22","Beautiful World Music","Shot from 168s to 181s of Beautiful World Music",168000,181000
"shot_video22_190_234","video22","Beautiful World Music","Shot from 190s to 234s of Beautiful World Music",190000,234000
"shot_video23_12_267","video23","Legal Battles in the Courtroom","Shot from 12s to 267s of Legal Battles in the Courtroom",12000,267000
"shot_video23_270_321","video23","Legal Battles in the Courtroom","Shot from 270s to 321s of Legal Battles in the Courtroom",270000,321000
"shot_video24_9_214","video24","A Taste of Home","Shot from 9s to 214s of A Taste of Home",9000,214000
"shot_video24_229_296","video24","A Taste of Home","Shot from 229s to 296s of A Taste of Home",229000,296000
"shot_video24_300_312","video24","A Taste of Home","Shot from 300s to 312s of A Taste of Home",300000,312000
"shot_video25_10_215","video25","High-Stakes Heist Operation","Shot from 10s to 215s of High-Stakes Heist Operation",10000,215000
"shot_video26_3_101","video26","The Secrets of Science","Shot from 3s to 101s of The Secrets of Science",3000,101000
"shot_video26_101_180","video26","The Secrets of Science","Shot from 101s to 180s of The Secrets of Science",101000,180000
"shot_video27_14_205","video27","Light-Hearted Romantic Comedy","Shot from 14s to 205s of Light-Hearted Romantic Comedy",14000,205000
"shot_video27_216_291","video27","Light-Hearted Romantic Comedy","Shot from 216s to 291s of Light-Hearted Romantic Comedy",216000,291000
"shot_video27_304_338","video27","Light-Hearted Romantic Comedy","Shot from 304s to 338s of Light-Hearted Romantic Comedy",304000,338000
"shot_video28_0_188","video28","Edge of Your Seat Thrillers","Shot from 0s to 188s of Edge of Your Seat Thrillers",0,188000
"shot_video28_196_333","video28","Edge of Your Seat Thrillers","Shot from 196s to 333s of Edge of Your Seat Thrillers",196000,333000
"shot_video28_344_394","video28","Edge of Your Seat Thrillers","Shot from 344s to 394s of Edge of Your Seat Thrillers",344000,394000
"shot_video28_402_415","video28","Edge of Your Seat Thrillers","Shot from 402s to 415s of Edge of Your Seat Thrillers",402000,415000
"shot_video28_434_446","video28","Edge of Your Seat Thrillers","Shot from 434s to 446s of Edge of Your Seat Thrillers",434000,446000
"shot_video28_459_484","video28","Edge of Your Seat Thrillers","Shot from 459s to 484s of Edge of Your Seat Thrillers",459000,484000
"shot_video29_8_336","video29","Exploring World Art","Shot from 8s to 336s of Exploring World Art",8000,336000
"shot_video29_339_378","video29","Exploring World Art","Shot from 339s to 378s of Exploring World Art",339000,378000
"shot_video30_19_53","video30","Green Earth: Sustainable Living","Shot from 19s to 53s of Green Earth: Sustainable Living",19000,53000
"shot_video30_55_71","video30","Green Earth: Sustainable Living","Shot from 55s to 71s of Green Earth: Sustainable Living",55000,71000
"shot_video30_71_213","video30","Green Earth: Sustainable Living","Shot from 71s to 213s of Green Earth: Sustainable Living",71000,213000
"shot_video31_2_40","video31","Ancient Myths and Legends","Shot from 2s to 40s of Ancient Myths and Legends",2000,40000
"shot_video31_48_76","video31","Ancient Myths and Legends","Shot from 48s to 76s of Ancient Myths and Legends",48000,76000
"shot_video32_16_297","video32","The Quest for Adventure","Shot from 16s to 297s of The Quest for Adventure",16000,297000
"shot_video32_300_427","video32","The Quest for Adventure","Shot from 300s to 427s of The Quest for Adventure",300000,427000
"shot_video32_433_467","video32","The Quest for Adventure","Shot from 433s to 467s of The Quest for Adventure",433000,467000
"shot_video33_4_116","video33","Emotional Human Journeys","Shot from 4s to 116s of Emotional Human Journeys",4000,116000
"shot_video33_126_131","video33","Emotional Human Journeys","Shot from 126s to 131s of Emotional Human Journeys",126000,131000
"shot_video33_140_141","video33","Emotional Human Journeys","Shot from 140s to 141s of Emotional Human Journeys",140000,141000
"shot_video34_15_36","video34","Mind-Bending Thrillers","Shot from 15s to 36s of Mind-Bending Thrillers",15000,36000
"shot_video34_56_229","video34","Mind-Bending Thrillers","Shot from 56s to 229s of Mind-Bending Thrillers",56000,229000
"shot_video35_15_92","video35","A World of Science","Shot from 15s to 92s of A World of Science",15000,92000
"shot_video35_105_262","video35","A World of Science","Shot from 105s to 262s of A World of Science",105000,262000
"shot_video35_269_319","video35","A World of Science","Shot from 269s to 319s of A World of Science",269000,319000
"shot_video35_319_355","video35","A World of Science","Shot from 319s to 355s of A World of Science",319000,355000
"shot_video36_15_271","video36","Hilarious Sitcom Classics","Shot from 15s to 271s of Hilarious Sitcom Classics",15000,271000
"shot_video36_277_293","video36","Hilarious Sitcom Classics","Shot from 277s to 293s of Hilarious Sitcom Classics",277000,293000
"shot_video36_310_315","video36","Hilarious Sitcom Classics","Shot from 310s to 315s of Hilarious Sitcom Classics",310000,315000
"shot_video37_19_295","video37","The Music of Nature","Shot from 19s to 295s of The Music of Nature",19000,295000
"shot_video37_302_322","video37","The Music of Nature","Shot from 302s to 322s of The Music of Nature",302000,322000
"shot_video37_338_354","video37","The Music of Nature","Shot from 338s to 354s of The Music of Nature",338000,354000
"shot_video37_369_385","video37","The Music of Nature","Shot from 369s to 385s of The Music of Nature",369000,385000
"shot_video38_19_141","video38","Planet Earth's Beauty","Shot from 19s to 141s of Planet Earth's Beauty",19000,141000
"shot_video38_150_333","video38","Planet Earth's Beauty","Shot from 150s to 333s of Planet Earth's Beauty",150000,333000
"shot_video38_334_435","video38","Planet Earth's Beauty","Shot from 334s to 435s of Planet Earth's Beauty",334000,435000
"shot_video39_8_157","video39","Epic Space Exploration","Shot from 8s to 157s of Epic Space Exploration",8000,157000
"shot_video39_161_301","video39","Epic Space Exploration","Shot from 161s to 301s of Epic Space Exploration",161000,301000
"shot_video39_311_327","video39","Epic Space Exploration","Shot from 311s to 327s of Epic Space Exploration",311000,327000
