object_id,video_id,video_name,type,category,tracking_id,timestamp
"video0_56000_1","video0","Exploring the Amazon Rainforest","car","vehicle","",56000
"video0_56000_2","video0","Exploring the Amazon Rainforest","car","vehicle","",56000
"video0_57000_0","video0","Exploring the Amazon Rainforest","cat","pet","6f21d229-1c5d-43bd-9a31-79010574cde7",57000
"video0_57000_1","video0","Exploring the Amazon Rainforest","person","","",57000
"video0_57000_2","video0","Exploring the Amazon Rainforest","car","vehicle","",57000
"video0_58000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",58000
"video0_58000_1","video0","Exploring the Amazon Rainforest","car","vehicle","",58000
"video0_58000_2","video0","Exploring the Amazon Rainforest","car","vehicle","",58000
"video0_59000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",59000
"video0_59000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",59000
"video0_60000_0","video0","Exploring the Amazon Rainforest","dog","pet","",60000
"video0_61000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",61000
"video0_61000_1","video0","Exploring the Amazon Rainforest","person","","",61000
"video0_61000_2","video0","Exploring the Amazon Rainforest","person","","f32e0236-4678-4786-9f55-dc04e56f6f91",61000
"video0_62000_0","video0","Exploring the Amazon Rainforest","person","","",62000
"video0_62000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",62000
"video0_62000_2","video0","Exploring the Amazon Rainforest","cat","pet","",62000
"video0_63000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",63000
"video0_63000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",63000
"video0_64000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",64000
"video0_66000_0","video0","Exploring the Amazon Rainforest","cat","pet","",66000
"video0_67000_0","video0","Exploring the Amazon Rainforest","cat","pet","",67000
"video0_67000_1","video0","Exploring the Amazon Rainforest","cat","pet","",67000
"video0_69000_0","video0","Exploring the Amazon Rainforest","cat","pet","",69000
"video0_70000_0","video0","Exploring the Amazon Rainforest","person","","",70000
"video0_73000_0","video0","Exploring the Amazon Rainforest","dog","pet","",73000
"video0_74000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",74000
"video0_74000_1","video0","Exploring the Amazon Rainforest","person","","",74000
"video0_75000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",75000
"video0_75000_1","video0","Exploring the Amazon Rainforest","dog","pet","",75000
"video0_78000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",78000
"video0_78000_1","video0","Exploring the Amazon Rainforest","dog","pet","",78000
"video0_79000_0","video0","Exploring the Amazon Rainforest","dog","pet","",79000
"video0_79000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",79000
"video0_79000_2","video0","Exploring the Amazon Rainforest","person","","",79000
"video0_80000_0","video0","Exploring the Amazon Rainforest","dog","pet","",80000
"video0_81000_0","video0","Exploring the Amazon Rainforest","cat","pet","",81000
"video0_81000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",81000
"video0_81000_2","video0","Exploring the Amazon Rainforest","monitor","electronics","",81000
"video0_82000_0","video0","Exploring the Amazon Rainforest","person","","",82000
"video0_82000_1","video0","Exploring the Amazon Rainforest","person","","",82000
"video0_82000_2","video0","Exploring the Amazon Rainforest","car","vehicle","78de7948-2778-4ecd-90b0-8a90e097db7d",82000
"video0_84000_0","video0","Exploring the Amazon Rainforest","dog","pet","",84000
"video0_84000_1","video0","Exploring the Amazon Rainforest","dog","pet","",84000
"video0_85000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",85000
"video0_85000_1","video0","Exploring the Amazon Rainforest","person","","f32e0236-4678-4786-9f55-dc04e56f6f91",85000
"video0_85000_2","video0","Exploring the Amazon Rainforest","person","","",85000
"video0_86000_0","video0","Exploring the Amazon Rainforest","cat","pet","",86000
"video0_86000_1","video0","Exploring the Amazon Rainforest","car","vehicle","",86000
"video0_86000_2","video0","Exploring the Amazon Rainforest","dog","pet","8eb1df83-22ef-4484-869b-fdbab0b3f223",86000
"video0_87000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",87000
"video0_87000_1","video0","Exploring the Amazon Rainforest","person","","",87000
"video0_89000_0","video0","Exploring the Amazon Rainforest","dog","pet","",89000
"video0_90000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",90000
"video0_91000_0","video0","Exploring the Amazon Rainforest","person","","",91000
"video0_91000_1","video0","Exploring the Amazon Rainforest","car","vehicle","",91000
"video0_92000_0","video0","Exploring the Amazon Rainforest","cat","pet","",92000
"video0_92000_1","video0","Exploring the Amazon Rainforest","car","vehicle","",92000
"video0_93000_0","video0","Exploring the Amazon Rainforest","cat","pet","6f21d229-1c5d-43bd-9a31-79010574cde7",93000
"video0_94000_0","video0","Exploring the Amazon Rainforest","person","","",94000
"video0_94000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","971532fa-2c20-4de1-83a1-682cc7c78d76",94000
"video0_95000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",95000
"video0_96000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",96000
"video0_96000_1","video0","Exploring the Amazon Rainforest","cat","pet","",96000
"video0_97000_0","video0","Exploring the Amazon Rainforest","cat","pet","",97000
"video0_97000_1","video0","Exploring the Amazon Rainforest","dog","pet","",97000
"video0_98000_0","video0","Exploring the Amazon Rainforest","person","","",98000
"video0_99000_0","video0","Exploring the Amazon Rainforest","dog","pet","",99000
"video0_99000_1","video0","Exploring the Amazon Rainforest","car","vehicle","",99000
"video0_99000_2","video0","Exploring the Amazon Rainforest","dog","pet","",99000
"video0_100000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",100000
"video0_100000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",100000
"video0_100000_2","video0","Exploring the Amazon Rainforest","car","vehicle","",100000
"video0_101000_0","video0","Exploring the Amazon Rainforest","cat","pet","",101000
"video0_101000_1","video0","Exploring the Amazon Rainforest","person","","",101000
"video0_101000_2","video0","Exploring the Amazon Rainforest","monitor","electronics","",101000
"video0_102000_0","video0","Exploring the Amazon Rainforest","person","","",102000
"video0_103000_0","video0","Exploring the Amazon Rainforest","person","","",103000
"video0_103000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",103000
"video0_103000_2","video0","Exploring the Amazon Rainforest","cat","pet","",103000
"video0_105000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",105000
"video0_105000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",105000
"video0_106000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",106000
"video0_106000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",106000
"video0_106000_2","video0","Exploring the Amazon Rainforest","car","vehicle","",106000
"video0_107000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",107000
"video0_107000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",107000
"video0_107000_2","video0","Exploring the Amazon Rainforest","person","","",107000
"video0_108000_0","video0","Exploring the Amazon Rainforest","dog","pet","",108000
"video0_109000_0","video0","Exploring the Amazon Rainforest","dog","pet","",109000
"video0_109000_1","video0","Exploring the Amazon Rainforest","cat","pet","",109000
"video0_110000_0","video0","Exploring the Amazon Rainforest","person","","",110000
"video0_110000_1","video0","Exploring the Amazon Rainforest","cat","pet","",110000
"video0_114000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",114000
"video0_114000_1","video0","Exploring the Amazon Rainforest","cat","pet","",114000
"video0_115000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",115000
"video0_115000_1","video0","Exploring the Amazon Rainforest","dog","pet","",115000
"video0_115000_2","video0","Exploring the Amazon Rainforest","car","vehicle","78de7948-2778-4ecd-90b0-8a90e097db7d",115000
"video0_116000_0","video0","Exploring the Amazon Rainforest","cat","pet","",116000
"video0_116000_1","video0","Exploring the Amazon Rainforest","dog","pet","",116000
"video0_117000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",117000
"video0_118000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",118000
"video0_118000_1","video0","Exploring the Amazon Rainforest","cat","pet","",118000
"video0_118000_2","video0","Exploring the Amazon Rainforest","cat","pet","",118000
"video0_119000_0","video0","Exploring the Amazon Rainforest","cat","pet","",119000
"video0_119000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",119000
"video0_119000_2","video0","Exploring the Amazon Rainforest","cat","pet","",119000
"video0_120000_0","video0","Exploring the Amazon Rainforest","dog","pet","",120000
"video0_120000_1","video0","Exploring the Amazon Rainforest","car","vehicle","",120000
"video0_122000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",122000
"video0_123000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",123000
"video0_123000_1","video0","Exploring the Amazon Rainforest","car","vehicle","",123000
"video0_125000_0","video0","Exploring the Amazon Rainforest","person","","",125000
"video0_125000_1","video0","Exploring the Amazon Rainforest","person","","",125000
"video0_125000_2","video0","Exploring the Amazon Rainforest","car","vehicle","",125000
"video0_126000_0","video0","Exploring the Amazon Rainforest","dog","pet","",126000
"video0_126000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",126000
"video0_126000_2","video0","Exploring the Amazon Rainforest","monitor","electronics","",126000
"video0_127000_0","video0","Exploring the Amazon Rainforest","person","","",127000
"video0_127000_1","video0","Exploring the Amazon Rainforest","person","","",127000
"video0_127000_2","video0","Exploring the Amazon Rainforest","dog","pet","",127000
"video0_128000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",128000
"video0_129000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",129000
"video0_130000_0","video0","Exploring the Amazon Rainforest","person","","",130000
"video0_130000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",130000
"video0_131000_0","video0","Exploring the Amazon Rainforest","cat","pet","",131000
"video0_132000_0","video0","Exploring the Amazon Rainforest","cat","pet","",132000
"video0_132000_1","video0","Exploring the Amazon Rainforest","dog","pet","",132000
"video0_132000_2","video0","Exploring the Amazon Rainforest","car","vehicle","",132000
"video0_133000_0","video0","Exploring the Amazon Rainforest","dog","pet","",133000
"video0_133000_1","video0","Exploring the Amazon Rainforest","cat","pet","",133000
"video0_133000_2","video0","Exploring the Amazon Rainforest","monitor","electronics","",133000
"video0_134000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",134000
"video0_135000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",135000
"video0_136000_0","video0","Exploring the Amazon Rainforest","dog","pet","",136000
"video0_137000_0","video0","Exploring the Amazon Rainforest","person","","",137000
"video0_137000_1","video0","Exploring the Amazon Rainforest","cat","pet","",137000
"video0_137000_2","video0","Exploring the Amazon Rainforest","dog","pet","",137000
"video0_140000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",140000
"video0_140000_1","video0","Exploring the Amazon Rainforest","person","","",140000
"video0_141000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",141000
"video0_141000_1","video0","Exploring the Amazon Rainforest","cat","pet","",141000
"video0_141000_2","video0","Exploring the Amazon Rainforest","monitor","electronics","",141000
"video0_142000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",142000
"video0_143000_0","video0","Exploring the Amazon Rainforest","cat","pet","",143000
"video0_143000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","971532fa-2c20-4de1-83a1-682cc7c78d76",143000
"video0_143000_2","video0","Exploring the Amazon Rainforest","cat","pet","",143000
"video0_145000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",145000
"video0_145000_1","video0","Exploring the Amazon Rainforest","car","vehicle","",145000
"video0_145000_2","video0","Exploring the Amazon Rainforest","dog","pet","8eb1df83-22ef-4484-869b-fdbab0b3f223",145000
"video0_146000_0","video0","Exploring the Amazon Rainforest","person","","",146000
"video0_146000_1","video0","Exploring the Amazon Rainforest","dog","pet","",146000
"video0_146000_2","video0","Exploring the Amazon Rainforest","monitor","electronics","",146000
"video0_147000_0","video0","Exploring the Amazon Rainforest","dog","pet","",147000
"video0_147000_1","video0","Exploring the Amazon Rainforest","person","","",147000
"video0_148000_0","video0","Exploring the Amazon Rainforest","person","","",148000
"video0_148000_1","video0","Exploring the Amazon Rainforest","cat","pet","",148000
"video0_148000_2","video0","Exploring the Amazon Rainforest","monitor","electronics","971532fa-2c20-4de1-83a1-682cc7c78d76",148000
"video0_150000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","971532fa-2c20-4de1-83a1-682cc7c78d76",150000
"video0_150000_1","video0","Exploring the Amazon Rainforest","car","vehicle","",150000
"video0_152000_0","video0","Exploring the Amazon Rainforest","dog","pet","",152000
"video0_152000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",152000
"video0_154000_0","video0","Exploring the Amazon Rainforest","dog","pet","",154000
"video0_154000_1","video0","Exploring the Amazon Rainforest","car","vehicle","",154000
"video0_155000_0","video0","Exploring the Amazon Rainforest","dog","pet","",155000
"video0_155000_1","video0","Exploring the Amazon Rainforest","cat","pet","",155000
"video0_157000_0","video0","Exploring the Amazon Rainforest","cat","pet","",157000
"video0_157000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",157000
"video0_158000_0","video0","Exploring the Amazon Rainforest","person","","",158000
"video0_159000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",159000
"video0_159000_1","video0","Exploring the Amazon Rainforest","person","","",159000
"video0_160000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",160000
"video0_161000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",161000
"video0_161000_1","video0","Exploring the Amazon Rainforest","person","","",161000
"video0_162000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",162000
"video0_162000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",162000
"video0_162000_2","video0","Exploring the Amazon Rainforest","person","","",162000
"video0_163000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",163000
"video0_163000_1","video0","Exploring the Amazon Rainforest","dog","pet","",163000
"video0_163000_2","video0","Exploring the Amazon Rainforest","person","","",163000
"video0_164000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",164000
"video0_164000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",164000
"video0_166000_0","video0","Exploring the Amazon Rainforest","person","","",166000
"video0_166000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",166000
"video0_166000_2","video0","Exploring the Amazon Rainforest","person","","",166000
"video0_167000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",167000
"video0_167000_1","video0","Exploring the Amazon Rainforest","cat","pet","",167000
"video0_169000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","971532fa-2c20-4de1-83a1-682cc7c78d76",169000
"video0_169000_1","video0","Exploring the Amazon Rainforest","person","","",169000
"video0_169000_2","video0","Exploring the Amazon Rainforest","monitor","electronics","",169000
"video0_171000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",171000
"video0_171000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","971532fa-2c20-4de1-83a1-682cc7c78d76",171000
"video0_171000_2","video0","Exploring the Amazon Rainforest","monitor","electronics","",171000
"video0_172000_0","video0","Exploring the Amazon Rainforest","cat","pet","",172000
"video0_172000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","971532fa-2c20-4de1-83a1-682cc7c78d76",172000
"video0_172000_2","video0","Exploring the Amazon Rainforest","monitor","electronics","",172000
"video0_173000_0","video0","Exploring the Amazon Rainforest","person","","",173000
"video0_174000_0","video0","Exploring the Amazon Rainforest","person","","",174000
"video0_179000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",179000
"video0_179000_1","video0","Exploring the Amazon Rainforest","cat","pet","",179000
"video0_180000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","971532fa-2c20-4de1-83a1-682cc7c78d76",180000
"video0_180000_1","video0","Exploring the Amazon Rainforest","car","vehicle","",180000
"video0_180000_2","video0","Exploring the Amazon Rainforest","dog","pet","",180000
"video0_181000_0","video0","Exploring the Amazon Rainforest","cat","pet","",181000
"video0_181000_1","video0","Exploring the Amazon Rainforest","car","vehicle","",181000
"video0_184000_0","video0","Exploring the Amazon Rainforest","dog","pet","",184000
"video0_185000_0","video0","Exploring the Amazon Rainforest","dog","pet","",185000
"video0_185000_1","video0","Exploring the Amazon Rainforest","person","","",185000
"video0_186000_0","video0","Exploring the Amazon Rainforest","person","","",186000
"video0_187000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",187000
"video0_187000_1","video0","Exploring the Amazon Rainforest","car","vehicle","",187000
"video0_189000_0","video0","Exploring the Amazon Rainforest","cat","pet","6f21d229-1c5d-43bd-9a31-79010574cde7",189000
"video0_189000_1","video0","Exploring the Amazon Rainforest","cat","pet","",189000
"video0_189000_2","video0","Exploring the Amazon Rainforest","monitor","electronics","",189000
"video0_190000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",190000
"video0_191000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",191000
"video0_191000_1","video0","Exploring the Amazon Rainforest","dog","pet","",191000
"video0_191000_2","video0","Exploring the Amazon Rainforest","monitor","electronics","",191000
"video0_192000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",192000
"video0_192000_1","video0","Exploring the Amazon Rainforest","cat","pet","",192000
"video0_192000_2","video0","Exploring the Amazon Rainforest","cat","pet","",192000
"video0_193000_0","video0","Exploring the Amazon Rainforest","cat","pet","",193000
"video0_194000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",194000
"video0_194000_1","video0","Exploring the Amazon Rainforest","dog","pet","",194000
"video0_195000_0","video0","Exploring the Amazon Rainforest","dog","pet","",195000
"video0_196000_0","video0","Exploring the Amazon Rainforest","person","","",196000
"video0_196000_1","video0","Exploring the Amazon Rainforest","car","vehicle","",196000
"video0_196000_2","video0","Exploring the Amazon Rainforest","person","","",196000
"video0_199000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",199000
"video0_200000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",200000
"video0_201000_0","video0","Exploring the Amazon Rainforest","cat","pet","",201000
"video0_201000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",201000
"video0_201000_2","video0","Exploring the Amazon Rainforest","car","vehicle","",201000
"video0_202000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","971532fa-2c20-4de1-83a1-682cc7c78d76",202000
"video0_202000_1","video0","Exploring the Amazon Rainforest","cat","pet","",202000
"video0_202000_2","video0","Exploring the Amazon Rainforest","cat","pet","",202000
"video0_203000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",203000
"video0_203000_1","video0","Exploring the Amazon Rainforest","cat","pet","",203000
"video0_203000_2","video0","Exploring the Amazon Rainforest","cat","pet","",203000
"video0_204000_0","video0","Exploring the Amazon Rainforest","cat","pet","",204000
"video0_204000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",204000
"video0_204000_2","video0","Exploring the Amazon Rainforest","car","vehicle","",204000
"video0_205000_0","video0","Exploring the Amazon Rainforest","dog","pet","",205000
"video0_205000_1","video0","Exploring the Amazon Rainforest","dog","pet","8eb1df83-22ef-4484-869b-fdbab0b3f223",205000
"video0_206000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",206000
"video0_206000_1","video0","Exploring the Amazon Rainforest","dog","pet","",206000
"video0_206000_2","video0","Exploring the Amazon Rainforest","car","vehicle","",206000
"video0_207000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",207000
"video0_207000_1","video0","Exploring the Amazon Rainforest","cat","pet","",207000
"video0_208000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",208000
"video0_208000_1","video0","Exploring the Amazon Rainforest","cat","pet","",208000
"video0_210000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",210000
"video0_211000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",211000
"video0_212000_0","video0","Exploring the Amazon Rainforest","cat","pet","",212000
"video0_212000_1","video0","Exploring the Amazon Rainforest","person","","",212000
"video0_213000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",213000
"video0_213000_1","video0","Exploring the Amazon Rainforest","person","","f32e0236-4678-4786-9f55-dc04e56f6f91",213000
"video0_213000_2","video0","Exploring the Amazon Rainforest","dog","pet","",213000
"video0_214000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",214000
"video0_216000_0","video0","Exploring the Amazon Rainforest","dog","pet","",216000
"video0_217000_0","video0","Exploring the Amazon Rainforest","cat","pet","",217000
"video0_217000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",217000
"video0_218000_0","video0","Exploring the Amazon Rainforest","car","vehicle","78de7948-2778-4ecd-90b0-8a90e097db7d",218000
"video0_218000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",218000
"video0_218000_2","video0","Exploring the Amazon Rainforest","car","vehicle","",218000
"video0_220000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","971532fa-2c20-4de1-83a1-682cc7c78d76",220000
"video0_222000_0","video0","Exploring the Amazon Rainforest","dog","pet","",222000
"video0_223000_0","video0","Exploring the Amazon Rainforest","cat","pet","",223000
"video0_223000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","971532fa-2c20-4de1-83a1-682cc7c78d76",223000
"video0_223000_2","video0","Exploring the Amazon Rainforest","dog","pet","",223000
"video0_224000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",224000
"video0_224000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",224000
"video0_225000_0","video0","Exploring the Amazon Rainforest","cat","pet","",225000
"video0_225000_1","video0","Exploring the Amazon Rainforest","dog","pet","",225000
"video0_226000_0","video0","Exploring the Amazon Rainforest","person","","",226000
"video0_226000_1","video0","Exploring the Amazon Rainforest","cat","pet","",226000
"video0_227000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",227000
"video0_227000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",227000
"video0_227000_2","video0","Exploring the Amazon Rainforest","cat","pet","",227000
"video0_228000_0","video0","Exploring the Amazon Rainforest","dog","pet","",228000
"video0_231000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",231000
"video0_231000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",231000
"video0_232000_0","video0","Exploring the Amazon Rainforest","person","","",232000
"video0_232000_1","video0","Exploring the Amazon Rainforest","person","","",232000
"video0_232000_2","video0","Exploring the Amazon Rainforest","cat","pet","",232000
"video0_233000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",233000
"video0_233000_1","video0","Exploring the Amazon Rainforest","cat","pet","",233000
"video0_233000_2","video0","Exploring the Amazon Rainforest","car","vehicle","",233000
